Particulars,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Secondary School,Maharashtra,Total,4249542,4412891,4546376,4672032,4766518,4777663,4837584,5137253,5409590,5461387
Secondary School,Maharashtra,Boy,NA,2472904,2526029,2590608,2496097,2622705,2663061,2829442,2987422,3001877
Secondary School,Maharashtra,Girl,NA,1939987,2020347,2081424,2270421,2154958,2174523,2307811,2422168,2459510
Secondary School,Manipur,Total,84226,100747,92148,96743,99842,103036,103569,106021,112729,120144
Secondary School,Manipur,Boy,NA,52299,48148,50445,52127,53793,53918,55385,58560,62674
Secondary School,Manipur,Girl,NA,48448,44000,46298,47715,49243,49651,50636,54169,57470
Secondary School,Meghalaya,Total,56571,73512,64230,74199,80707,88558,68726,72692,73390,73680
Secondary School,Meghalaya,Boy,NA,36720,32492,36873,40276,44444,33342,34008,34385,35642
Secondary School,Meghalaya,Girl,NA,36792,31738,37326,40431,44114,35384,38684,39005,38038
Secondary School,Mizoram,Total,36137,33219,36224,37078,35621,39650,40953,42849,47470,49910
Secondary School,Mizoram,Boy,NA,16567,17886,18574,18012,20097,20739,21734,23850,24875
Secondary School,Mizoram,Girl,NA,16652,18338,18504,17609,19553,20214,21115,23620,25035
Secondary School,Nagaland,Total,39260,29818,40365,47671,52975,54635,52634,52634,52634,52634
Secondary School,Nagaland,Boy,NA,15661,21439,25093,27669,28214,27248,27248,27248,27248
Secondary School,Nagaland,Girl,NA,14157,18926,22578,25306,26421,25386,25386,25386,25386
Secondary School,Odisha,Total,1177000,951943,1015394,1382498,867242,1370919,1252180,1253079,1288192,1361239
Secondary School,Odisha,Boy,NA,545313,586556,838016,478837,760763,686368,688480,695881,731143
Secondary School,Odisha,Girl,NA,406630,428838,544482,388405,610156,565812,564599,592311,630096
Secondary School,Puducherry,Total,50342,53756,57090,60119,62604,64596,66738,67048,68933,71233
Secondary School,Puducherry,Boy,NA,27012,28376,29768,31060,32110,32849,32953,33463,34807
Secondary School,Puducherry,Girl,NA,26744,28714,30351,31544,32486,33889,34095,35470,36426
Secondary School,Punjab,Total,856493,834261,843914,853298,862057,868885,839383,1030554,935886,1094125
Secondary School,Punjab,Boy,NA,439435,453624,458266,468512,486386,454502,557279,504205,592490
Secondary School,Punjab,Girl,NA,394826,390290,395032,393545,382499,384881,473275,431681,501635
Secondary School,Rajasthan,Total,1434286,1456905,1655627,1793025,1924198,2065546,2313069,2501844,2813631,3147406
Secondary School,Rajasthan,Boy,NA,1028990,1181515,1261080,1318621,1383136,1524283,1628345,1783794,1959695
Secondary School,Rajasthan,Girl,NA,427915,474112,531945,605577,682410,788786,873499,1029837,1187711
Secondary School,Sikkim,Total,12823,17685,15032,17983,18773,18496,18579,19432,21005,21005
Secondary School,Sikkim,Boy,NA,8958,7543,8934,9277,9140,9129,9389,9960,9960
Secondary School,Sikkim,Girl,NA,8727,7489,9049,9496,9356,9450,10043,11045,11045
Secondary School,Tamil Nadu,Total,2484686,2665263,2775339,2952354,3008272,3152698,3318523,2967545,3044632,3058221
Secondary School,Tamil Nadu,Boy,NA,1365165,1427746,1521320,1523999,1580242,1654972,1479412,1484639,1494299
Secondary School,Tamil Nadu,Girl,NA,1300098,1347593,1431034,1484273,1572456,1663551,1488133,1559993,1563922
Secondary School,Tripura,Total,104142,112498,118006,118909,122768,127914,139781,140281,147580,158438
Secondary School,Tripura,Boy,NA,61708,64166,64764,66855,70588,74349,74825,77999,83555
Secondary School,Tripura,Girl,NA,50790,53840,54145,55913,57326,65432,65456,69581,74883
Secondary School,Uttar Pradesh,Total,3318222,5479098,5809618,5926059,6071716,6222169,9334365,9280198,9468888,9290761
Secondary School,Uttar Pradesh,Boy,NA,3480039,3689945,3757509,3851575,3945832,5462237,5398027,5435215,5404151
Secondary School,Uttar Pradesh,Girl,NA,1999059,2119673,2168550,2220141,2276337,3872128,3882171,4033673,3886610
Secondary School,Uttarakhand,Total,380446,453756,460049,470618,511770,513585,519812,547008,577389,597650
Secondary School,Uttarakhand,Boy,NA,259325,261045,266550,280732,281470,284111,286170,311581,317338
Secondary School,Uttarakhand,Girl,NA,194431,199004,204068,231038,232115,235701,260838,265808,280312
Secondary School,West Bengal,Total,1964505,2052950,2234772,2202932,2534834,2500416,2715083,2753164,2980966,3321213
Secondary School,West Bengal,Boy,NA,1188197,1312142,1280474,1477263,1443933,1520946,1543102,1535961,1712728
Secondary School,West Bengal,Girl,NA,864753,922630,922458,1057571,1056483,1194137,1210062,1445005,1608485
Lower Secondary School,India,Total,20053986,21795735,23275955,24330661,24971520,25897719,28217697,29419840,30675872,31779027
Lower Secondary School,India,Boy,NA,NA,NA,NA,NA,14929517,15898127,16464883,16916233,17452871
Lower Secondary School,India,Girl,NA,NA,NA,NA,NA,10968202,12319570,12954957,13759639,14326156
